## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,9.095354,1.699342,6
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.026551,0.026551
Dist,7.000000,0.108571,0.135122
Dist,8.000000,0.175609,0.310731
Dist,9.000000,0.267426,0.578157
Dist,10.000000,0.275929,0.854086
Dist,11.000000,0.145914,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,1.000000,1.000000,Results,1.500191,1.531238,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.250213,0.250213
Dist,1.000000,0.302096,0.552310
Dist,2.000000,0.230273,0.782583
Dist,3.000000,0.134513,0.917097
Dist,4.000000,0.080509,0.997606
Dist,5.000000,0.002394,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,1.000000,1.000000,Results,1.404883,1.324294,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.229139,0.229139
Dist,1.000000,0.364637,0.593777
Dist,2.000000,0.244611,0.838388
Dist,3.000000,0.111071,0.949459
Dist,4.000000,0.037682,0.987141
Dist,5.000000,0.010184,0.997325
Dist,6.000000,0.002563,0.999888
Dist,7.000000,0.000112,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,1.000000,1.000000,Results,9.999041,1.354992,8
## Dist,x, P(X=x), P(X<=x)
Dist,5.000000,0.000972,0.000972
Dist,6.000000,0.005504,0.006476
Dist,7.000000,0.022161,0.028636
Dist,8.000000,0.074747,0.103384
Dist,9.000000,0.191086,0.294469
Dist,10.000000,0.332621,0.627090
Dist,11.000000,0.312842,0.939932
Dist,12.000000,0.060068,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,6.863928,0.762977,6
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.380256,0.380256
Dist,7.000000,0.437930,0.818186
Dist,8.000000,0.133488,0.951674
Dist,9.000000,0.036396,0.988070
Dist,10.000000,0.009816,0.997886
Dist,11.000000,0.002114,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,6.000000,6.000000,Results,3.609992,0.805586,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.005614,0.005614
Dist,1.000000,0.022286,0.027900
Dist,2.000000,0.079043,0.106943
Dist,3.000000,0.246868,0.353811
Dist,4.000000,0.541931,0.895741
Dist,5.000000,0.104259,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,6.000000,6.000000,Results,3.991172,3.341266,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.038683,0.038683
Dist,1.000000,0.077805,0.116488
Dist,2.000000,0.113518,0.230007
Dist,3.000000,0.143724,0.373730
Dist,4.000000,0.171554,0.545284
Dist,5.000000,0.201136,0.746421
Dist,6.000000,0.211795,0.958216
Dist,7.000000,0.041784,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,6.000000,6.000000,Results,7.532913,3.357549,8
## Dist,x, P(X=x), P(X<=x)
Dist,5.000000,0.124334,0.124334
Dist,6.000000,0.234163,0.358497
Dist,7.000000,0.188510,0.547006
Dist,8.000000,0.156382,0.703388
Dist,9.000000,0.127613,0.831002
Dist,10.000000,0.092980,0.923981
Dist,11.000000,0.054897,0.978878
Dist,12.000000,0.021122,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,12.000000,12.000000,Results,6.879035,0.742657,6
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.366061,0.366061
Dist,7.000000,0.448075,0.814135
Dist,8.000000,0.138802,0.952938
Dist,9.000000,0.036560,0.989497
Dist,10.000000,0.008836,0.998334
Dist,11.000000,0.001666,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,12.000000,12.000000,Results,3.608642,0.794283,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.004754,0.004754
Dist,1.000000,0.021364,0.026117
Dist,2.000000,0.080561,0.106678
Dist,3.000000,0.252000,0.358678
Dist,4.000000,0.536453,0.895131
Dist,5.000000,0.104869,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,12.000000,12.000000,Results,4.706339,2.452811,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.013875,0.013875
Dist,1.000000,0.032170,0.046045
Dist,2.000000,0.058738,0.104783
Dist,3.000000,0.100031,0.204815
Dist,4.000000,0.165243,0.370057
Dist,5.000000,0.252793,0.622850
Dist,6.000000,0.308386,0.931236
Dist,7.000000,0.068764,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,12.000000,12.000000,Results,6.803830,2.382735,8
## Dist,x, P(X=x), P(X<=x)
Dist,5.000000,0.195342,0.195342
Dist,6.000000,0.325145,0.520486
Dist,7.000000,0.209463,0.729949
Dist,8.000000,0.125756,0.855706
Dist,9.000000,0.074321,0.930027
Dist,10.000000,0.041901,0.971928
Dist,11.000000,0.020806,0.992733
Dist,12.000000,0.007267,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,24.000000,24.000000,Results,6.885445,0.750956,6
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.363832,0.363832
Dist,7.000000,0.447912,0.811744
Dist,8.000000,0.139939,0.951684
Dist,9.000000,0.037371,0.989054
Dist,10.000000,0.009187,0.998241
Dist,11.000000,0.001759,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,24.000000,24.000000,Results,3.603255,0.802147,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.004962,0.004962
Dist,1.000000,0.021932,0.026894
Dist,2.000000,0.081493,0.108387
Dist,3.000000,0.252461,0.360848
Dist,4.000000,0.534807,0.895655
Dist,5.000000,0.104345,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,24.000000,24.000000,Results,4.833535,2.190883,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.009557,0.009557
Dist,1.000000,0.024136,0.033693
Dist,2.000000,0.048965,0.082658
Dist,3.000000,0.092120,0.174778
Dist,4.000000,0.163983,0.338761
Dist,5.000000,0.261937,0.600698
Dist,6.000000,0.325621,0.926320
Dist,7.000000,0.073680,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,24.000000,24.000000,Results,6.675600,2.103324,8
## Dist,x, P(X=x), P(X<=x)
Dist,5.000000,0.207851,0.207851
Dist,6.000000,0.341264,0.549114
Dist,7.000000,0.213151,0.762265
Dist,8.000000,0.120226,0.882491
Dist,9.000000,0.064825,0.947316
Dist,10.000000,0.032924,0.980240
