## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,5.280930,1.844512,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000169,0.000169
Dist,1.000000,0.001955,0.002124
Dist,2.000000,0.016230,0.018354
Dist,3.000000,0.089834,0.108188
Dist,4.000000,0.171169,0.279357
Dist,5.000000,0.257311,0.536668
Dist,6.000000,0.270530,0.807198
Dist,7.000000,0.162066,0.969264
Dist,8.000000,0.028564,0.997828
Dist,9.000000,0.002093,0.999921
Dist,10.000000,0.000078,0.999998
Dist,11.000000,0.000002,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,1.000000,1.000000,Results,5.949209,1.447663,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000162,0.000162
Dist,1.000000,0.001286,0.001448
Dist,2.000000,0.006033,0.007480
Dist,3.000000,0.024869,0.032349
Dist,4.000000,0.081785,0.114135
Dist,5.000000,0.201144,0.315279
Dist,6.000000,0.331519,0.646798
Dist,7.000000,0.291093,0.937891
Dist,8.000000,0.057532,0.995423
Dist,9.000000,0.004407,0.999830
Dist,10.000000,0.000167,0.999996
Dist,11.000000,0.000004,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,1.000000,1.000000,Results,1.745766,1.760901,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.202436,0.202436
Dist,1.000000,0.274419,0.476855
Dist,2.000000,0.238749,0.715604
Dist,3.000000,0.159901,0.875505
Dist,4.000000,0.109584,0.985090
Dist,5.000000,0.013722,0.998812
Dist,6.000000,0.001122,0.999934
Dist,7.000000,0.000063,0.999997
Dist,8.000000,0.000003,1.000000
Dist,9.000000,0.000000,1.000000
Dist,10.000000,0.000000,1.000000
Dist,11.000000,0.000000,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,1.000000,1.000000,Results,1.023388,0.973033,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.345126,0.345126
Dist,1.000000,0.388380,0.733507
Dist,2.000000,0.187475,0.920982
Dist,3.000000,0.060344,0.981325
Dist,4.000000,0.014964,0.996290
Dist,5.000000,0.003093,0.999382
Dist,6.000000,0.000618,1.000000
Dist,7.000000,0.000000,1.000000
Dist,8.000000,0.000000,1.000000
Dist,9.000000,0.000000,1.000000
Dist,10.000000,0.000000,1.000000
Dist,11.000000,0.000000,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,5.250871,7.181420,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.048827,0.048827
Dist,1.000000,0.059232,0.108058
Dist,2.000000,0.072060,0.180119
Dist,3.000000,0.089949,0.270068
Dist,4.000000,0.110269,0.380337
Dist,5.000000,0.128031,0.508368
Dist,6.000000,0.136294,0.644662
Dist,7.000000,0.129516,0.774178
Dist,8.000000,0.108223,0.882401
Dist,9.000000,0.076757,0.959158
Dist,10.000000,0.034819,0.993977
Dist,11.000000,0.005120,0.999096
Dist,12.000000,0.000791,0.999888
Dist,13.000000,0.000103,0.999991
Dist,14.000000,0.000009,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,6.000000,6.000000,Results,2.787801,7.743522,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.292776,0.292776
Dist,1.000000,0.139279,0.432055
Dist,2.000000,0.115688,0.547743
Dist,3.000000,0.102201,0.649944
Dist,4.000000,0.090538,0.740482
Dist,5.000000,0.077293,0.817774
Dist,6.000000,0.062296,0.880070
Dist,7.000000,0.046862,0.926933
Dist,8.000000,0.032514,0.959447
Dist,9.000000,0.020007,0.979453
Dist,10.000000,0.011192,0.990645
Dist,11.000000,0.005647,0.996292
Dist,12.000000,0.002527,0.998819
Dist,13.000000,0.000946,0.999765
Dist,14.000000,0.000235,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,6.000000,6.000000,Results,3.898015,2.308630,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.029230,0.029230
Dist,1.000000,0.048396,0.077626
Dist,2.000000,0.081313,0.158940
Dist,3.000000,0.142221,0.301161
Dist,4.000000,0.402978,0.704139
Dist,5.000000,0.180761,0.884899
Dist,6.000000,0.075751,0.960651
Dist,7.000000,0.027938,0.988588
Dist,8.000000,0.008720,0.997309
Dist,9.000000,0.002203,0.999511
Dist,10.000000,0.000425,0.999936
Dist,11.000000,0.000058,0.999994
Dist,12.000000,0.000005,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,6.000000,6.000000,Results,2.061201,2.435597,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.157682,0.157682
Dist,1.000000,0.264932,0.422614
Dist,2.000000,0.231835,0.654449
Dist,3.000000,0.164661,0.819111
Dist,4.000000,0.099548,0.918658
Dist,5.000000,0.052326,0.970985
Dist,6.000000,0.025651,0.996636
Dist,7.000000,0.002316,0.998952
Dist,8.000000,0.000804,0.999756
Dist,9.000000,0.000204,0.999960
Dist,10.000000,0.000035,0.999996
Dist,11.000000,0.000004,1.000000
Dist,12.000000,0.000000,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,12.000000,12.000000,Results,6.100775,7.525860,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.045664,0.045664
Dist,1.000000,0.040838,0.086501
Dist,2.000000,0.045498,0.131999
Dist,3.000000,0.055882,0.187881
Dist,4.000000,0.073620,0.261502
Dist,5.000000,0.097821,0.359323
Dist,6.000000,0.124821,0.484144
Dist,7.000000,0.148125,0.632269
Dist,8.000000,0.157857,0.790126
Dist,9.000000,0.137490,0.927616
Dist,10.000000,0.065735,0.993351
Dist,11.000000,0.005668,0.999019
Dist,12.000000,0.000829,0.999848
Dist,13.000000,0.000135,0.999983
Dist,14.000000,0.000017,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,12.000000,12.000000,Results,2.224935,6.214257,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.299309,0.299309
Dist,1.000000,0.209489,0.508797
Dist,2.000000,0.154782,0.663579
Dist,3.000000,0.106072,0.769651
Dist,4.000000,0.071026,0.840677
Dist,5.000000,0.048246,0.888923
Dist,6.000000,0.034156,0.923079
Dist,7.000000,0.025338,0.948417
Dist,8.000000,0.019444,0.967861
Dist,9.000000,0.013374,0.981235
Dist,10.000000,0.008816,0.990051
Dist,11.000000,0.005400,0.995452
Dist,12.000000,0.002928,0.998379
Dist,13.000000,0.001276,0.999655
Dist,14.000000,0.000345,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,12.000000,12.000000,Results,3.426370,2.294452,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.050819,0.050819
Dist,1.000000,0.074064,0.124883
Dist,2.000000,0.115365,0.240249
Dist,3.000000,0.182534,0.422783
Dist,4.000000,0.395118,0.817901
Dist,5.000000,0.124135,0.942036
Dist,6.000000,0.039971,0.982007
Dist,7.000000,0.012732,0.994739
Dist,8.000000,0.003867,0.998606
Dist,9.000000,0.001073,0.999679
Dist,10.000000,0.000260,0.999938
Dist,11.000000,0.000052,0.999991
Dist,12.000000,0.000008,0.999999
Dist,13.000000,0.000001,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,12.000000,12.000000,Results,2.245792,3.478214,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.164864,0.164864
Dist,1.000000,0.253808,0.418672
Dist,2.000000,0.209658,0.628330
Dist,3.000000,0.150028,0.778358
Dist,4.000000,0.098446,0.876804
Dist,5.000000,0.060243,0.937047
Dist,6.000000,0.037520,0.974567
Dist,7.000000,0.011907,0.986474
Dist,8.000000,0.006956,0.993430
Dist,9.000000,0.003714,0.997143
Dist,10.000000,0.001783,0.998927
Dist,11.000000,0.000746,0.999673
Dist,12.000000,0.000255,0.999928
Dist,13.000000,0.000063,0.999992
Dist,14.000000,0.000008,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,24.000000,24.000000,Results,5.350648,9.291123,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.106268,0.106268
Dist,1.000000,0.058930,0.165198
Dist,2.000000,0.055476,0.220674
Dist,3.000000,0.062143,0.282817
Dist,4.000000,0.077378,0.360195
Dist,5.000000,0.097473,0.457668
Dist,6.000000,0.117087,0.574755
Dist,7.000000,0.130590,0.705345
Dist,8.000000,0.131282,0.836628
Dist,9.000000,0.108595,0.945223
Dist,10.000000,0.050089,0.995312
Dist,11.000000,0.004058,0.999370
Dist,12.000000,0.000538,0.999908
Dist,13.000000,0.000082,0.999990
Dist,14.000000,0.000010,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToViareggio,24.000000,24.000000,Results,2.836988,8.347647,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.244371,0.244371
Dist,1.000000,0.184408,0.428779
Dist,2.000000,0.145905,0.574684
Dist,3.000000,0.108395,0.683080
Dist,4.000000,0.079214,0.762294
Dist,5.000000,0.058874,0.821168
Dist,6.000000,0.045885,0.867054
Dist,7.000000,0.038494,0.905547
Dist,8.000000,0.035364,0.940911
Dist,9.000000,0.024527,0.965438
Dist,10.000000,0.016227,0.981666
Dist,11.000000,0.009958,0.991624
Dist,12.000000,0.005400,0.997024
Dist,13.000000,0.002347,0.999371
Dist,14.000000,0.000629,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToPistoia,24.000000,24.000000,Results,3.216834,2.690069,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.092381,0.092381
Dist,1.000000,0.083958,0.176339
Dist,2.000000,0.114911,0.291250
Dist,3.000000,0.172246,0.463496
Dist,4.000000,0.367900,0.831397
Dist,5.000000,0.117092,0.948489
Dist,6.000000,0.036610,0.985099
Dist,7.000000,0.010877,0.995976
Dist,8.000000,0.003029,0.999005
Dist,9.000000,0.000776,0.999781
Dist,10.000000,0.000178,0.999959
Dist,11.000000,0.000035,0.999994
Dist,12.000000,0.000005,0.999999
Dist,13.000000,0.000001,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainLucca,24.000000,24.000000,Results,2.593484,4.593847,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.144362,0.144362
Dist,1.000000,0.228501,0.372863
Dist,2.000000,0.196466,0.569329
Dist,3.000000,0.147717,0.717046
Dist,4.000000,0.104561,0.821607
Dist,5.000000,0.072298,0.893905
Dist,6.000000,0.053496,0.947401
Dist,7.000000,0.021311,0.968712
Dist,8.000000,0.014571,0.983284
Dist,9.000000,0.008922,0.992206
Dist,10.000000,0.004750,0.996957
Dist,11.000000,0.002110,0.999067
Dist,12.000000,0.000733,0.999800
Dist,13.000000,0.000178,0.999978
Dist,14.000000,0.000022,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,48.000000,48.000000,Results,5.300799,9.295899,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.102804,0.102804
Dist,1.000000,0.063630,0.166434
Dist,2.000000,0.060221,0.226655
Dist,3.000000,0.065561,0.292215
Dist,4.000000,0.078864,0.371080
Dist,5.000000,0.096932,0.468012
Dist,6.000000,0.114936,0.582948
Dist,7.000000,0.127580,0.710528
