## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,2.606458,3.549786,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.175118,0.175118
Dist,1.000000,0.161050,0.336168
Dist,2.000000,0.159245,0.495413
Dist,3.000000,0.159659,0.655072
Dist,4.000000,0.153108,0.808181
Dist,5.000000,0.124950,0.933131
Dist,6.000000,0.058887,0.992018
Dist,7.000000,0.006656,0.998674
Dist,8.000000,0.001115,0.999789
Dist,9.000000,0.000188,0.999977
Dist,10.000000,0.000023,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStateViareggio,-1.000000,-1.000000,Results,2.142148,4.341710,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.272726,0.272726
Dist,1.000000,0.204478,0.477204
Dist,2.000000,0.162899,0.640103
Dist,3.000000,0.123428,0.763531
Dist,4.000000,0.092831,0.856362
Dist,5.000000,0.061691,0.918052
Dist,6.000000,0.039292,0.957345
Dist,7.000000,0.023415,0.980759
Dist,8.000000,0.012448,0.993207
Dist,9.000000,0.005356,0.998563
Dist,10.000000,0.001437,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,StedyStatePistoia,-1.000000,-1.000000,Results,2.981548,2.610675,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.100898,0.100898
Dist,1.000000,0.109369,0.210266
Dist,2.000000,0.139899,0.350165
Dist,3.000000,0.188863,0.539029
Dist,4.000000,0.325911,0.864939
Dist,5.000000,0.098662,0.963601
Dist,6.000000,0.027838,0.991439
Dist,7.000000,0.006920,0.998359
Dist,8.000000,0.001414,0.999773
Dist,9.000000,0.000210,0.999983
Dist,10.000000,0.000017,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateLucca,-1.000000,-1.000000,Results,2.267821,3.303046,11
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.160536,0.160536
Dist,1.000000,0.248814,0.409350
Dist,2.000000,0.208622,0.617972
Dist,3.000000,0.151350,0.769322
Dist,4.000000,0.101762,0.871083
Dist,5.000000,0.065102,0.936185
Dist,6.000000,0.042546,0.978731
Dist,7.000000,0.012946,0.991677
Dist,8.000000,0.005996,0.997673
Dist,9.000000,0.001978,0.999651
Dist,10.000000,0.000349,1.000000

