## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,0.251245,0.241426,3
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.775408,0.775408
Dist,1.000000,0.197940,0.973347
Dist,2.000000,0.026653,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,1.000000,1.000000,Results,0.494665,0.296077,3
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.528388,0.528388
Dist,1.000000,0.448560,0.976947
Dist,2.000000,0.023053,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,1.000000,1.000000,Results,0.768693,0.451997,3
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.368404,0.368404
Dist,1.000000,0.494500,0.862903
Dist,2.000000,0.137097,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,1.000000,1.000000,Results,0.484805,0.368029,3
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.574325,0.574325
Dist,1.000000,0.366545,0.940870
Dist,2.000000,0.059130,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,6.000000,6.000000,Results,0.384065,0.346535,3
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.670923,0.670923
Dist,1.000000,0.274089,0.945012
Dist,2.000000,0.054988,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,6.000000,6.000000,Results,0.451011,0.358488,3
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.604433,0.604433
Dist,1.000000,0.340123,0.944556
Dist,2.000000,0.055444,1.000000

