## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,4,SteadyStateFlorence,-1.000000,-1.000000,Results,1.368671,3.713463,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.464719,0.464719
Dist,1.000000,0.206282,0.671001
Dist,2.000000,0.131707,0.802708
Dist,3.000000,0.078927,0.881635
Dist,4.000000,0.046010,0.927645
Dist,5.000000,0.027233,0.954878
Dist,6.000000,0.016435,0.971313
Dist,7.000000,0.010294,0.981607
Dist,8.000000,0.006770,0.988377
Dist,9.000000,0.004685,0.993062
Dist,10.000000,0.003458,0.996520
Dist,11.000000,0.001960,0.998479
Dist,12.000000,0.001007,0.999487
Dist,13.000000,0.000412,0.999898
Dist,14.000000,0.000102,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,5,SteadyStatePistoia,-1.000000,-1.000000,Results,1.594355,1.781346,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.217105,0.217105
Dist,1.000000,0.333806,0.550911
Dist,2.000000,0.219948,0.770859
Dist,3.000000,0.129807,0.900666
Dist,4.000000,0.080094,0.980760
Dist,5.000000,0.010404,0.991163
Dist,6.000000,0.005129,0.996292
Dist,7.000000,0.002285,0.998577
Dist,8.000000,0.000931,0.999508
Dist,9.000000,0.000343,0.999851
Dist,10.000000,0.000111,0.999962
Dist,11.000000,0.000030,0.999992
Dist,12.000000,0.000007,0.999999
Dist,13.000000,0.000001,1.000000
Dist,14.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,6,SteadyStateLucca,-1.000000,-1.000000,Results,4.782669,3.551369,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.031056,0.031056
Dist,1.000000,0.046062,0.077117
Dist,2.000000,0.066601,0.143718
Dist,3.000000,0.093694,0.237412
Dist,4.000000,0.127585,0.364997
Dist,5.000000,0.171282,0.536279
Dist,6.000000,0.290474,0.826753
Dist,7.000000,0.173247,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,7,SteadyStateViareggio,-1.000000,-1.000000,Results,6.252442,4.523390,15
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.017123,0.017123
Dist,1.000000,0.018306,0.035429
Dist,2.000000,0.026286,0.061715
Dist,3.000000,0.041910,0.103625
Dist,4.000000,0.071238,0.174863
Dist,5.000000,0.121138,0.296001
Dist,6.000000,0.192875,0.488875
Dist,7.000000,0.244125,0.733000
Dist,8.000000,0.165123,0.898124
Dist,9.000000,0.062086,0.960209
Dist,10.000000,0.024891,0.985101
Dist,11.000000,0.009924,0.995025
Dist,12.000000,0.003655,0.998680
Dist,13.000000,0.001110,0.999790
Dist,14.000000,0.000210,1.000000

